id,title,houseIcon,dealDate,totalPrice,positionIcon,source,unitPrice,dealHouseTxt
21354,杨庄中区 2室1厅 76.39平米,南 北 | 毛坯 | 无电梯,2015.08.11,215,底层(共6层) 1998年建板楼,链家成交,28289,3000
21355,聚兴园 2室2厅 92.59平米,南 北 | 简装 | 有电梯,2015.08.09,318,低楼层(共12层) 2006年建板塔结合,链家成交,34565,3000
21356,远洋山水 2室2厅 105.78平米,东 西 | 简装 | 有电梯,2015.08.09,415,低楼层(共26层) 2006年建板塔结合,链家成交,39523,3000
21358,御景山 3室2厅 146.01平米,南 北 | 精装 | 有电梯,2015.08.08,499,中楼层(共19层) 2003年建板塔结合,链家成交,34178,3000
21359,海特花园小区 3室1厅 110.82平米,南 北 | 简装 | 无电梯,2015.08.07,325,中楼层(共6层) 1997年建板楼,链家成交,29545,3000
21360,雍景四季 2室1厅 110.07平米,南 | 简装 | 有电梯,2015.08.06,405,低楼层(共21层) 2009年建板塔结合,链家成交,36818,3000
21361,双锦园 1室1厅 46.08平米,南 | 精装 | 有电梯,2015.08.04,160,低楼层(共16层) 2000年建板塔结合,链家成交,34782,3000
21362,地震局宿舍 1室1厅 50.65平米,南 | 精装 | 无电梯,2015.08.03,175,低楼层(共6层) 板楼,链家成交,35000,3000
21363,七星园 1室1厅 47.39平米,东 | 简装 | 无电梯,2015.08.02,175,中楼层(共6层) 1994年建板楼,链家成交,37234,3000
21364,八角北里 2室1厅 58.93平米,南 北 | 精装 | 无电梯,2015.08.02,185,高楼层(共6层) 1986年建板楼,链家成交,31896,3000
21365,永乐西区 2室1厅 62.64平米,东 西 | 精装 | 无电梯,2015.08.02,187,低楼层(共6层) 1991年建板楼,链家成交,30161,3000
21367,远洋沁山水 3室2厅 123.07平米,东 西 北 | 精装 | 有电梯,2015.08.02,565,底层(共23层) 2011年建板楼,链家成交,45934,3000
21368,雍景四季 4室2厅 189.98平米,东 南 北 | 精装 | 有电梯,2015.08.02,750,中楼层(共19层) 2009年建板塔结合,链家成交,39682,3000
21369,八角南路 1室1厅 46.06平米,南 北 | 精装 | 无电梯,2015.08.01,149,中楼层(共6层) 1986年建板楼,链家成交,32391,952
21370,苹果园小区三区 2室2厅 68.82平米,南 北 | 简装 | 无电梯,2015.08.01,210,低楼层(共6层) 1999年建板楼,链家成交,30882,591
21373,雍景四季 4室2厅 188.2平米,南 西 北 | 精装 | 有电梯,2015.07.30,680,低楼层(共19层) 2009年建板塔结合,链家成交,36170,3000
21374,融景城 2室1厅 90.22平米,南 | 毛坯 | 有电梯,2015.07.29,315,底层(共26层) 2010年建板塔结合,链家成交,35000,3000
21375,西现代城 1室0厅 41.07平米,北 | 精装 | 有电梯,2015.07.29,135,中楼层(共22层) 板塔结合,链家成交,32926,3000
21376,永乐西区 2室1厅 60.17平米,南 | 精装 | 无电梯,2015.07.29,190,中楼层(共6层) 1987年建板楼,链家成交,31666,3000
21377,六合园 2室1厅 71.61平米,南 北 | 简装 | 无电梯,2015.07.28,220,底层(共6层) 1994年建板楼,链家成交,30985,3000
21379,八角北路 2室0厅 56.68平米,南 北 | 精装 | 无电梯,2015.07.27,165,高楼层(共6层) 1984年建板楼,链家成交,29464,3000
21381,八角中里 2室1厅 59.29平米,北 西南 | 精装 | 无电梯,2015.07.26,195,中楼层(共6层) 1985年建板楼,链家成交,33050,3000
21382,融景城 2室2厅 93.71平米,南 | 精装 | 有电梯,2015.07.25,355,高楼层(共26层) 板塔结合,链家成交,38172,3000
21384,永乐东区 1室1厅 43.66平米,南 | 简装 | 无电梯,2015.07.25,148,中楼层(共6层) 1987年建板楼,链家成交,34418,807
21385,杨庄中区 2室1厅 56.83平米,南 北 | 精装 | 无电梯,2015.07.22,180,高楼层(共6层) 1998年建板楼,链家成交,32142,3000
21386,远洋沁山水 3室2厅 87.2平米,南 北 | 精装 | 有电梯,2015.07.21,570,中楼层(共21层) 2009年建板楼,链家成交,65517,754
21387,永乐西区 2室1厅 60.92平米,南 | 简装 | 无电梯,2015.07.20,180,中楼层(共6层) 1991年建板楼,链家成交,30000,3000
21388,老山东里 2室1厅 50.68平米,南 北 | 精装 | 无电梯,2015.07.20,158,中楼层(共6层) 1985年建板楼,链家成交,31600,929
21389,西成忆树 1室1厅 55.91平米,西 | 精装 | 有电梯,2015.07.19,182,低楼层(共20层) 2005年建板塔结合,链家成交,33090,3000
21391,七星园 2室1厅 76.68平米,西南 | 简装 | 有电梯,2015.07.19,225,低楼层(共19层) 1995年建塔楼,链家成交,29605,1133
21392,六合园 2室1厅 66.71平米,南 北 | 毛坯 | 无电梯,2015.07.19,190,中楼层(共6层) 1995年建板楼,链家成交,28787,3000
21393,苹果园小区三区 2室2厅 74.75平米,西南 | 简装 | 有电梯,2015.07.18,197,底层(共16层) 1994年建塔楼,链家成交,26621,714
21395,远洋山水 1室0厅 60.61平米,西 北 | 精装 | 有电梯,2015.07.14,230,中楼层(共26层) 2007年建板塔结合,链家成交,38333,1064
21396,五芳园 2室1厅 54.99平米,西 | 精装 | 无电梯,2015.07.14,159,底层(共6层) 1993年建板楼,链家成交,29444,3000
21397,翠谷玉景 2室1厅 85.75平米,南 北 | 简装 | 无电梯,2015.07.12,330,低楼层(共6层) 2004年建板楼,链家成交,38823,3000
21400,五芳园 2室1厅 65.05平米,西南 | 其他 | 无电梯,2015.07.11,180,中楼层(共6层) 1994年建板楼,链家成交,27692,3000
21401,聚兴园 2室1厅 93.16平米,南 北 | 精装 | 有电梯,2015.07.09,335,底层(共13层) 2005年建板塔结合,链家成交,36021,3000
21402,远洋沁山水 2室1厅 88.87平米,南 北 | 精装 | 有电梯,2015.07.08,415,低楼层(共18层) 2011年建板楼,链家成交,47159,3000
21403,茂华景公馆 5室2厅 247.84平米,东 南 西 北 | 精装 | 有电梯,2015.07.06,1295,中楼层(共7层) 2007年建板楼,链家成交,52429,3000
21405,鲁谷村 2室1厅 61平米,南 北 | 精装 | 无电梯,2015.07.05,208,低楼层(共6层) 1997年建板楼,链家成交,34098,1010
21406,西现代城 1室1厅 51.38平米,南 | 精装 | 有电梯,2015.07.05,160,低楼层(共22层) 板塔结合,链家成交,31372,3000
21407,地铁古城家园 2室1厅 79.53平米,南 西 | 精装 | 有电梯,2015.07.05,240,中楼层(共24层) 2000年建塔楼,链家成交,30379,3000
21408,远洋山水 1室1厅 70.19平米,西 北 | 精装 | 有电梯,2015.07.05,280,中楼层(共26层) 2007年建板塔结合,链家成交,40000,3000
21409,苹果园小区一区 2室1厅 57.52平米,南 | 精装 | 无电梯,2015.07.04,163,中楼层(共6层) 1989年建板楼,链家成交,28596,3000
21410,雍景四季 3室2厅 143.78平米,南 北 | 精装 | 有电梯,2015.07.04,525,低楼层(共19层) 2009年建板塔结合,链家成交,36713,3000
21411,八角南里 3室1厅 82.02平米,南 北 | 简装 | 无电梯,2015.07.01,275,低楼层(共6层) 1999年建板楼,链家成交,33536,1097
21412,远洋沁山水 3室2厅 89.34平米,南 北 | 精装 | 有电梯,2015.06.30,550,中楼层(共21层) 2009年建板楼,链家成交,61797,754
21413,杨庄中区 1室1厅 67.08平米,东 | 其他 | 有电梯,2015.06.28,169,顶层(共18层) 1997年建塔楼,链家成交,25223,3000
